plant.sp,genus,species,k.type
Rhododendron hirsutum,Rhododendron,hirsutum,3.1
Rhodothamnus chamaecistus,Rhodothamnus,chamaecistus,5.6
Rosa canina,Rosa,canina,1.1
Rosa corymbifera,Rosa,corymbifera,1.1
Rosa dumalis,Rosa,dumalis,1.1
Rubus idaeus,Rubus,idaeus,1.2ba
Rumex acetosa,Rumex,acetosa,0
Rumex arifolius,Rumex,arifolius,0
Rumex alpestris,Rumex,alpestris,0
Rumex obtusifolius,Rumex,obtusifolius,0
Sagina procumbens,Sagina,procumbens,1.2bb
Sagina saginoides,Sagina,saginoides,1.2bb
Salix retusa,Salix,retusa,9
Salix serpillifolia,Salix,serpillifolia,9
Salvia glutinosa,Salvia,glutinosa,5.1
Salvia verticillata,Salvia,verticillata,5.1
Sanguisorba officinalis,Sanguisorba,officinalis,1.2ba
Sanicula europaea,Sanicula,europaea,1.2a
Saxifraga aizoides,Saxifraga,aizoides,1.2a
Saxifraga androsacea,Saxifraga,androsacea,1.2a
Saxifraga caesia,Saxifraga,caesia,1.2a
Saxifraga paniculata,Saxifraga,paniculata,1.2a
Saxifraga rotundifolia,Saxifraga,rotundifolia,1.2a
Saxifraga stellaris,Saxifraga,stellaris,1.2a
Scabiosa lucida,Scabiosa,lucida,7.1
Scrophularia nodosa,Scrophularia,nodosa,5.2
Sedum album,Sedum,album,1.2bd
Sedum atratum,Sedum,atratum,1.2bd
Senecio abrotanifolius,Senecio,abrotanifolius,7.2c
Senecio germanicus,Senecio,germanicus,7.2c
Senecio ovatus,Senecio,ovatus,7.2c
Sesleria albicans,Sesleria,albicans,0
Silene acaulis,Silene,acaulis,4.2
Silene dioica,Silene,dioica,4.2
Silene nutans,Silene,nutans,4.2
Silene vulgaris,Silene,vulgaris,4.2
Solanum dulcamara,Solanum,dulcamara,1.1
Soldanella alpina,Soldanella,alpina,3.1
Solidago virgaurea,Solidago,virgaurea,7.2c
Stachys sylvatica,Stachys,sylvatica,5.1
Stellaria graminea,Stellaria,graminea,1.2bb
Stellaria nemorum,Stellaria,nemorum,1.2bb
Taraxacum sect.,Taraxacum,sect.,7.2b
Taraxacum sect.,Taraxacum,sect.,7.2b
Taraxacum sect.,Taraxacum,sect.,7.2b
Taraxacum officinale,Taraxacum,officinale,7.2b
Teucrium chamaedrys,Teucrium,chamaedrys,5.1
Thalictrum aquilegiifolium,Thalictrum,aquilegiifolium,9
Thesium alpinum,Thesium,alpinum,1.2ba
