plant.sp,plant.genus,plant.family,k.type,k.type.s,k.type.ss
Trifolium pratense,Trifolium,Fabaceae,6.1a,6.1,6
Trifolium repens,Trifolium,Fabaceae,6.1a,6.1,6
Trisetum flavescens,Trisetum,Poaceae,0,0,0
Trollius europaeus,Trollius,Ranunculaceae,1.2bf,1.2,1
Tussilago farfara,Tussilago,Asteraceae,7.2c,7.2,7
Urtica dioica,Urtica,Urticaceae,0,0,0
Vaccinium myrtillus,Vaccinium,Ericaceae,3.1,3.1,3
Vaccinium vitis-idaea,Vaccinium,Ericaceae,3.1,3.1,3
Valeriana dioica,Valeriana,Caprifoliaceae,2.2,2.2,2
Valeriana montana,Valeriana,Caprifoliaceae,2.2,2.2,2
Valeriana officinalis,Valeriana,Caprifoliaceae,2.2,2.2,2
Valeriana saxatilis,Valeriana,Caprifoliaceae,2.2,2.2,2
Valeriana tripteris,Valeriana,Caprifoliaceae,2.2,2.2,2
Veratrum album,Veratrum,Melanthiaceae,1.2a,1.2,1
Verbascum thapsus,Verbascum,Scrophulariaceae,5.6,5.6,5
Veronica alpina,Veronica,Plantaginaceae,5.6,5.6,5
Veronica aphylla,Veronica,Plantaginaceae,5.6,5.6,5
Veronica beccabunga,Veronica,Plantaginaceae,5.6,5.6,5
Veronica chamaedrys,Veronica,Plantaginaceae,5.6,5.6,5
Veronica filiformis,Veronica,Plantaginaceae,5.6,5.6,5
Veronica fruticans,Veronica,Plantaginaceae,5.6,5.6,5
Veronica officinalis,Veronica,Plantaginaceae,5.6,5.6,5
Veronica serpyllifolia,Veronica,Plantaginaceae,5.6,5.6,5
Vicia cracca,Vicia,Fabaceae,6.1b,6.1,6
Vicia sepium,Vicia,Fabaceae,6.1b,6.1,6
Vincetoxicum hirundinaria,Vincetoxicum,Apocynaceae,10.2,10.2,10
Viola biflora,Viola,Violaceae,5.5,5.5,5
Viola collina,Viola,Violaceae,5.5,5.5,5
Viola hirta,Viola,Violaceae,5.5,5.5,5
Viola reichenbachiana,Viola,Violaceae,5.5,5.5,5
Willemetia stipitata,Willemetia,Asteraceae,7.2b,7.2,7
Rubus idaeus,Rubus,Rosaceae,1.2ba,1.2,1
Rosa canina,Rosa,Rosaceae,1.1,1.1,1
Larix decidua,Larix,Pinaceae,0,0,0
Mentha aquatilis,Mentha,Lamiaceae,NA,2.2,2
Salix spec.,Salix,Salicaceae,NA,9,9
Caltha palustris,Caltha,Ranunculaceae,1.2bd,1.2,1
Pulmonaria officinalis,Pulmonaria,Boraginaceae,4.1,4.1,4
Rheum barbarum,Rheum,Polygonaceae,NA,7.1,7
Mentha arvensis,Mentha,Lamiaceae,2.2,2.2,2
Achillea collina,Achillea,NA,7.2c,7.2,7
Achillea pannonica,Achillea,NA,7.2c,7.2,7
Achillea pratensis,Achillea,NA,7.2c,7.2,7
Achillea roseoalba,Achillea,NA,7.2c,7.2,7
Achillea setacea,Achillea,NA,7.2c,7.2,7
Aconitum degenii,Aconitum,NA,5.2,5.2,5
Aconitum lycoctonum,Aconitum,NA,5.2,5.2,5
Aconitum plicatum,Aconitum,NA,5.2,5.2,5
Aconitum tauricum,Aconitum,NA,5.2,5.2,5
Alchemilla alpigena,Alchemilla,NA,1.2a,1.2,1
Alchemilla cleistophylla,Alchemilla,NA,1.2a,1.2,1
Alchemilla connivens,Alchemilla,NA,1.2a,1.2,1
Alchemilla coriacea,Alchemilla,NA,1.2a,1.2,1
Alchemilla crinita,Alchemilla,NA,1.2a,1.2,1
Alchemilla cymatophylla,Alchemilla,NA,1.2a,1.2,1
Alchemilla decumbens,Alchemilla,NA,1.2a,1.2,1
Alchemilla effusa,Alchemilla,NA,1.2a,1.2,1
Alchemilla filicaulis,Alchemilla,NA,1.2a,1.2,1
Alchemilla fissa,Alchemilla,NA,1.2a,1.2,1
Alchemilla glabra,Alchemilla,NA,1.2a,1.2,1
Alchemilla glaucescens,Alchemilla,NA,1.2a,1.2,1
Alchemilla glomerulans,Alchemilla,NA,1.2a,1.2,1
Alchemilla hoppeana,Alchemilla,NA,1.2a,1.2,1
Alchemilla impexa,Alchemilla,NA,1.2a,1.2,1
Alchemilla lineata,Alchemilla,NA,1.2a,1.2,1
Alchemilla lunaria,Alchemilla,NA,1.2a,1.2,1
Alchemilla micans,Alchemilla,NA,1.2a,1.2,1
Alchemilla monticola,Alchemilla,NA,1.2a,1.2,1
Alchemilla obtusa,Alchemilla,NA,1.2a,1.2,1
Alchemilla pallens,Alchemilla,NA,1.2a,1.2,1
Alchemilla propinqua,Alchemilla,NA,1.2a,1.2,1
Alchemilla reniformis,Alchemilla,NA,1.2a,1.2,1
Alchemilla rubristipula,Alchemilla,NA,1.2a,1.2,1
Alchemilla straminea,Alchemilla,NA,1.2a,1.2,1
Alchemilla strigosula,Alchemilla,NA,1.2a,1.2,1
Alchemilla subcrenata,Alchemilla,NA,1.2a,1.2,1
Alchemilla subglobosa,Alchemilla,NA,1.2a,1.2,1
Alchemilla tenuis,Alchemilla,NA,1.2a,1.2,1
Alchemilla tirolensis,Alchemilla,NA,1.2a,1.2,1
Alchemilla undulata,Alchemilla,NA,1.2a,1.2,1
Alchemilla versipila,Alchemilla,NA,1.2a,1.2,1
Alchemilla xanthochlora,Alchemilla,NA,1.2a,1.2,1
Allium cirrhosum,Allium,NA,1.2bd,1.2,1
Anthoxanthum aristatum,Anthoxanthum,NA,0,0,0
Anthriscus nitida,Anthriscus,NA,1.2a,1.2,1
Arabis bellidifolia,Arabis,NA,1.2bb,1.2,1
Arabis caucasica,Arabis,NA,1.2bb,1.2,1
Arabis nemorensis,Arabis,NA,1.2bb,1.2,1
Arctostaphylos alpinus,Arctostaphylos,NA,3.1,3.1,3
Betonica alopecuros,Betonica,NA,5.1,5.1,5
Betonica officinalis,Betonica,NA,5.1,5.1,5
Bistorta vivipara,Bistorta,NA,3.2,3.2,3
Brachypodium rupestre,Brachypodium,NA,0,0,0
Cardamine dentata,Cardamine,NA,1.2bb,1.2,1
