year;sample_number;size;ecto-mites_xs;ecto-mites_s;ecto-mites_m;ecto-mites_l;tracheal-mites;parasite_apicystis;parasite_nosema;parasite_crithidia;parasitoid_braconidae_larvae;parasitoid_conopidae_ventral_egg;parasitoid_conopidae_ventral_larvae;parasitoid_conopidae_dorsal_egg;parasitoid_conopidae_dorsal_larvae;parasitoid_conopidae_dead_larvae;nematode;ovary_development;fatbody_look;comment;dissector
2011;208;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;B
2011;209;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;B
2011;210;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;211;3.6;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;212;3.2;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;braun gepunktet;;B
2011;213;3.9;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;214;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;215;3.8;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;216;3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;217;3.7;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;218;3.9;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;219;4.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;220;3.1;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;221;4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;BF
2011;222;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;223;3.2;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;224;4;0;0;0;2;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
