Valeriana pratensis Dierb.;B`;
Valeriana procurrens Wallr.;B`;
Valeriana sambucifolia J. C. Mikan ex Pohl;B`;
Valeriana saxatilis L.;B`;
Valeriana tripteris L.;B`;
Valeriana versifolia Brügger;B`;
Valeriana wallrothii Kreyer;B`;
Veratrum album L.;ADe;
Verbascum thapsus L.;Po;
Veronica alpina L.;B;
Veronica aphylla L.;B;
Veronica beccabunga L.;B;
Veronica chamaedrys L. s. l.;Ds;
Veronica filiformis Sm.;B;
Veronica fruticans Jacq.;B;
Veronica officinalis L.;B;
Veronica serpyllifolia L.;B;
Vicia cracca L. s. str.;H;
Vicia dalmatica Kern.;H;
Vicia sepium L.;H;
Vicia tenuifolia Roth s. str.;H;
Vincetoxicum hirundinaria Medik.;Dkl;
Viola biflora L.;Hb;
Viola collina Besser;Hb;
Viola hirta L.;Hb;
Viola reichenbachiana Jord. ex Boreau;Hb;
Willemetia stipitata (Jacq.) Dalla Torre;B`;

Results BiolFlor searchsystem;
(c) UFZ-Umweltforschungszentrum Leipzig-Halle GmbH;2020-04-15 12:16:37
