site1,site2,metric,metric.class,value,elev1,elev2,man1,man2,lon1,lat1,lon2,lat2,elev.diff,mean.elev,man.diff,year
h1,wma2,OS.rich,OS.partition,0.12479116256732926,817,1245,grasing,grasing,12.836133,47.590633,12.940933,47.583517,428,1031,FALSE,2010
h1,wma2,S,aggregate,0.4338097199293012,817,1245,grasing,grasing,12.836133,47.590633,12.940933,47.583517,428,1031,FALSE,2010
h1,wma2,ST,aggregate,0.5319944481542774,817,1245,grasing,grasing,12.836133,47.590633,12.940933,47.583517,428,1031,FALSE,2010
h1,wma2,ST.h,ST.partition,0.08208263603588818,817,1245,grasing,grasing,12.836133,47.590633,12.940933,47.583517,428,1031,FALSE,2010
h1,wma2,ST.l,ST.partition,0.345401043169964,817,1245,grasing,grasing,12.836133,47.590633,12.940933,47.583517,428,1031,FALSE,2010
h1,wma2,ST.lh,ST.partition,0.10451076894842522,817,1245,grasing,grasing,12.836133,47.590633,12.940933,47.583517,428,1031,FALSE,2010
h1,wma2,WN,aggregate,0.7144320784326623,817,1245,grasing,grasing,12.836133,47.590633,12.940933,47.583517,428,1031,FALSE,2010
h1,wma2,WN.repl,WN.partition,0.3607036870470626,817,1245,grasing,grasing,12.836133,47.590633,12.940933,47.583517,428,1031,FALSE,2010
h1,wma2,WN.rich,WN.partition,0.35372839138559975,817,1245,grasing,grasing,12.836133,47.590633,12.940933,47.583517,428,1031,FALSE,2010
h1,wma3,OS,aggregate,0.1702527894048792,817,1423,grasing,grasing,12.836133,47.590633,12.943317,47.5778,606,1120,FALSE,2010
h1,wma3,OS.repl,OS.partition,0.05273428576834149,817,1423,grasing,grasing,12.836133,47.590633,12.943317,47.5778,606,1120,FALSE,2010
h1,wma3,OS.rich,OS.partition,0.1175185036365377,817,1423,grasing,grasing,12.836133,47.590633,12.943317,47.5778,606,1120,FALSE,2010
h1,wma3,S,aggregate,0.4891092444374555,817,1423,grasing,grasing,12.836133,47.590633,12.943317,47.5778,606,1120,FALSE,2010
h1,wma3,ST,aggregate,0.641137790157527,817,1423,grasing,grasing,12.836133,47.590633,12.943317,47.5778,606,1120,FALSE,2010
h1,wma3,ST.h,ST.partition,0.07442603073833724,817,1423,grasing,grasing,12.836133,47.590633,12.943317,47.5778,606,1120,FALSE,2010
h1,wma3,ST.l,ST.partition,0.4889827541147201,817,1423,grasing,grasing,12.836133,47.590633,12.943317,47.5778,606,1120,FALSE,2010
h1,wma3,ST.lh,ST.partition,0.0777290053044697,817,1423,grasing,grasing,12.836133,47.590633,12.943317,47.5778,606,1120,FALSE,2010
h1,wma3,WN,aggregate,0.8113905795624062,817,1423,grasing,grasing,12.836133,47.590633,12.943317,47.5778,606,1120,FALSE,2010
h1,wma3,WN.repl,WN.partition,0.643236731701902,817,1423,grasing,grasing,12.836133,47.590633,12.943317,47.5778,606,1120,FALSE,2010
h1,wma3,WN.rich,WN.partition,0.16815384786050422,817,1423,grasing,grasing,12.836133,47.590633,12.943317,47.5778,606,1120,FALSE,2010
h1,wmb1,OS,aggregate,0.17640749936103486,817,960,grasing,grasing,12.836133,47.590633,12.94405,47.590483,143,888.5,FALSE,2010
h1,wmb1,OS.repl,OS.partition,0.11750316981398681,817,960,grasing,grasing,12.836133,47.590633,12.94405,47.590483,143,888.5,FALSE,2010
h1,wmb1,OS.rich,OS.partition,0.05890432954704805,817,960,grasing,grasing,12.836133,47.590633,12.94405,47.590483,143,888.5,FALSE,2010
h1,wmb1,S,aggregate,0.386806271623089,817,960,grasing,grasing,12.836133,47.590633,12.94405,47.590483,143,888.5,FALSE,2010
h1,wmb1,ST,aggregate,0.47532146006416126,817,960,grasing,grasing,12.836133,47.590633,12.94405,47.590483,143,888.5,FALSE,2010
h1,wmb1,ST.h,ST.partition,0.08412703022321943,817,960,grasing,grasing,12.836133,47.590633,12.94405,47.590483,143,888.5,FALSE,2010
h1,wmb1,ST.l,ST.partition,0.35045450753353374,817,960,grasing,grasing,12.836133,47.590633,12.94405,47.590483,143,888.5,FALSE,2010
h1,wmb1,ST.lh,ST.partition,0.04073992230740806,817,960,grasing,grasing,12.836133,47.590633,12.94405,47.590483,143,888.5,FALSE,2010
h1,wmb1,WN,aggregate,0.6517289594251962,817,960,grasing,grasing,12.836133,47.590633,12.94405,47.590483,143,888.5,FALSE,2010
h1,wmb1,WN.repl,WN.partition,0.3937706361066607,817,960,grasing,grasing,12.836133,47.590633,12.94405,47.590483,143,888.5,FALSE,2010
h1,wmb1,WN.rich,WN.partition,0.25795832331853547,817,960,grasing,grasing,12.836133,47.590633,12.94405,47.590483,143,888.5,FALSE,2010
h1,wmb2,OS,aggregate,0.18839166367595866,817,1140,grasing,grasing,12.836133,47.590633,12.955817,47.57715,323,978.5,FALSE,2010
h1,wmb2,OS.repl,OS.partition,0.11528365565862563,817,1140,grasing,grasing,12.836133,47.590633,12.955817,47.57715,323,978.5,FALSE,2010
h1,wmb2,OS.rich,OS.partition,0.07310800801733303,817,1140,grasing,grasing,12.836133,47.590633,12.955817,47.57715,323,978.5,FALSE,2010
h1,wmb2,S,aggregate,0.5089982715878347,817,1140,grasing,grasing,12.836133,47.590633,12.955817,47.57715,323,978.5,FALSE,2010
h1,wmb2,ST,aggregate,0.642466276097748,817,1140,grasing,grasing,12.836133,47.590633,12.955817,47.57715,323,978.5,FALSE,2010
h1,wmb2,ST.h,ST.partition,0.08879460185735208,817,1140,grasing,grasing,12.836133,47.590633,12.955817,47.57715,323,978.5,FALSE,2010
h1,wmb2,ST.l,ST.partition,0.39160905133126495,817,1140,grasing,grasing,12.836133,47.590633,12.955817,47.57715,323,978.5,FALSE,2010
h1,wmb2,ST.lh,ST.partition,0.1620626229091309,817,1140,grasing,grasing,12.836133,47.590633,12.955817,47.57715,323,978.5,FALSE,2010
h1,wmb2,WN,aggregate,0.8308579397737066,817,1140,grasing,grasing,12.836133,47.590633,12.955817,47.57715,323,978.5,FALSE,2010
h1,wmb2,WN.repl,WN.partition,0.3947246464866551,817,1140,grasing,grasing,12.836133,47.590633,12.955817,47.57715,323,978.5,FALSE,2010
h1,wmb2,WN.rich,WN.partition,0.43613329328705147,817,1140,grasing,grasing,12.836133,47.590633,12.955817,47.57715,323,978.5,FALSE,2010
h1,wmb3,OS,aggregate,0.18156545617372255,817,1420,grasing,grasing,12.836133,47.590633,12.962033,47.569167,603,1118.5,FALSE,2010
h1,wmb3,OS.repl,OS.partition,0.0936528757368824,817,1420,grasing,grasing,12.836133,47.590633,12.962033,47.569167,603,1118.5,FALSE,2010
h1,wmb3,OS.rich,OS.partition,0.08791258043684014,817,1420,grasing,grasing,12.836133,47.590633,12.962033,47.569167,603,1118.5,FALSE,2010
h1,wmb3,S,aggregate,0.530728220051825,817,1420,grasing,grasing,12.836133,47.590633,12.962033,47.569167,603,1118.5,FALSE,2010
h1,wmb3,ST,aggregate,0.6631524853631149,817,1420,grasing,grasing,12.836133,47.590633,12.962033,47.569167,603,1118.5,FALSE,2010
h1,wmb3,ST.h,ST.partition,0.05657480326763811,817,1420,grasing,grasing,12.836133,47.590633,12.962033,47.569167,603,1118.5,FALSE,2010
h1,wmb3,ST.l,ST.partition,0.4907830117860515,817,1420,grasing,grasing,12.836133,47.590633,12.962033,47.569167,603,1118.5,FALSE,2010
h1,wmb3,ST.lh,ST.partition,0.11579467030942525,817,1420,grasing,grasing,12.836133,47.590633,12.962033,47.569167,603,1118.5,FALSE,2010
