bb.sp,plant.sp,preference
pasc,Salvia verticillata,4.032452904630802
soro,Salvia verticillata,0.7765987580012155
bss,Saxifraga aizoides,1.2149251495787687
mont,Saxifraga aizoides,1.8457973937701622
prat,Saxifraga aizoides,0.3778154648346097
pyre,Saxifraga aizoides,1.402351363817226
bss,Scabiosa lucida,1.770910901471042
jone,Scabiosa lucida,2.748747500791959
mont,Scabiosa lucida,0.3033630038408547
muci,Scabiosa lucida,0.7335593831278211
pasc,Scabiosa lucida,0.47918565367575444
prat,Scabiosa lucida,0.8379616138132217
psit,Scabiosa lucida,2.2613328597537063
pyre,Scabiosa lucida,1.5728439759565152
soro,Scabiosa lucida,2.5447829895119485
wurf,Scabiosa lucida,0.1044178822039509
pasc,Scrophularia nodosa,0.2767826072174517
prat,Scrophularia nodosa,0.9346683997852104
bss,Senecio abrotanifolius,0.10773696890953988
psit,Senecio abrotanifolius,0.2508829255953763
mont,Senecio ovatus,0.38474249229291263
pasc,Senecio ovatus,0.029863417668880055
prat,Senecio ovatus,0.2972389629473837
psit,Senecio ovatus,1.9147623111666536
pyre,Senecio ovatus,1.3483631374783736
soro,Senecio ovatus,0.19138406479820275
bss,Silene acaulis,0.5030842804018789
hort,Silene acaulis,2.0132163218470702
mend,Silene acaulis,5.7890953506195135
mont,Silene acaulis,2.5282406831611834
psit,Silene acaulis,16.07762689635985
soro,Silene acaulis,1.1853333117304816
bss,Silene dioica,0.07170694476068827
hort,Silene dioica,1.8025317624361095
jone,Silene dioica,1.510598785177735
pasc,Silene dioica,0.16070238934517206
prat,Silene dioica,0.18388046228084418
psit,Silene dioica,1.0961713413881347
pasc,Silene flos-cuculi,2.7413654783023844
soro,Silene flos-cuculi,2.293390093881186
bss,Silene vulgaris,0.08542360835229475
pyre,Silene vulgaris,2.082729567712034
soro,Silene vulgaris,0.05638093925721971
wurf,Silene vulgaris,0.054181722767962764
bss,Soldanella alpina,2.256442427860842
hort,Soldanella alpina,0.9445579886443839
jone,Soldanella alpina,3.508368961220893
mont,Soldanella alpina,1.2346146451968998
pasc,Soldanella alpina,0.8581187150759831
prat,Soldanella alpina,2.9759233470895516
psit,Soldanella alpina,0.7521396014517405
soro,Soldanella alpina,3.1299090966838703
wurf,Soldanella alpina,1.6510453042021993
bss,Solidago virgaurea,0.9531327171001015
mont,Solidago virgaurea,0.889411953031156
prat,Solidago virgaurea,0.4066468865145567
pyre,Solidago virgaurea,1.432643988712667
soro,Solidago virgaurea,0.28373243762841877
bss,Stachys alopecuros,0.8958477468175724
hort,Stachys alopecuros,4.974579541582489
hypn,Stachys alopecuros,2.0283920247751595
jone,Stachys alopecuros,1.5104990927769726
lapi,Stachys alopecuros,6.345385910882149
mend,Stachys alopecuros,3.6731263577127606
mont,Stachys alopecuros,0.36495000870992683
muci,Stachys alopecuros,1.0981739482174635
pasc,Stachys alopecuros,2.5135417400569824
prat,Stachys alopecuros,5.522687907329849
psit,Stachys alopecuros,1.1416411239130364
pyre,Stachys alopecuros,0.6690215047690108
soro,Stachys alopecuros,1.5343768886805316
wurf,Stachys alopecuros,3.2321505211855883
bss,Stachys officinalis,2.9211122158886615
hort,Stachys officinalis,13.240026570824835
pasc,Stachys officinalis,13.659374707889507
psit,Stachys officinalis,1.717412009961586
bss,Stachys sylvatica,0.21045248888503723
hort,Stachys sylvatica,1.6288716415936366
pasc,Stachys sylvatica,0.9080042389871416
bss,Taraxacum officinale,2.636202362982282
pasc,Taraxacum officinale,0.2625568982310417
prat,Taraxacum officinale,1.821389572509961
psit,Taraxacum officinale,7.227570329953881
bss,Teucrium chamaedrys,1.9072334574817067
hort,Teucrium chamaedrys,0.81795639419755
pasc,Teucrium chamaedrys,4.369495045522463
prat,Teucrium chamaedrys,4.85929824440356
soro,Teucrium chamaedrys,0.23461273913173633
bss,Thymus praecox,0.3931822781724483
hort,Thymus praecox,0.29534793331408565
mont,Thymus praecox,1.6095540912969695
pasc,Thymus praecox,0.06606192399794758
prat,Thymus praecox,0.2164747474972414
psit,Thymus praecox,3.0846374763927553
wurf,Thymus praecox,0.06360132442119394
bss,Thymus pulegioides,4.203841984308215
hort,Thymus pulegioides,0.8276289711836683
jone,Thymus pulegioides,10.623360316328336
mont,Thymus pulegioides,11.066763098792846
pasc,Thymus pulegioides,1.2794352573037593
prat,Thymus pulegioides,3.2399366605656064
psit,Thymus pulegioides,2.43943734090379
pyre,Thymus pulegioides,8.46317086127575
soro,Thymus pulegioides,1.2228008064791598
wurf,Thymus pulegioides,0.4396963376639494
bss,Tofieldia calyculata,0.0984800846492325
psit,Tragopogon pratensis,2.4484700194788926
mont,Trifolium badium,1.7120042671940316
bss,Trifolium montanum,0.9951390983494176
pasc,Trifolium montanum,0.684721463887341
bss,Trifolium pratense,1.2641395838156693
hort,Trifolium pratense,2.205183095174141
hypn,Trifolium pratense,2.2549488616925544
jone,Trifolium pratense,0.6084919427553787
lapi,Trifolium pratense,1.3665803691782845
mend,Trifolium pratense,6.547936547281239
mont,Trifolium pratense,0.909430553038303
muci,Trifolium pratense,7.725703624489477
pasc,Trifolium pratense,4.296226545276897
prat,Trifolium pratense,0.4444106332104142
psit,Trifolium pratense,0.19206323462293093
soro,Trifolium pratense,0.20909067851820895
wurf,Trifolium pratense,0.8533163426562053
bss,Trifolium repens,1.057813578600113
lapi,Trifolium repens,3.3069306019935962
pasc,Trifolium repens,1.6017420167693965
prat,Trifolium repens,0.15203246215248498
bss,Trollius europaeus,1.1063730532686902
jone,Trollius europaeus,1.0435625866326903
prat,Trollius europaeus,0.038965914382529235
bss,Tussilago farfara,0.31663816338414585
bss,Vaccinium myrtillus,0.3873089106252006
hort,Vaccinium myrtillus,1.177008207044646
prat,Vaccinium myrtillus,3.6033959750207423
